,player_id,full_name,first_name,last_name,jersey_number,starter,position,team_id,game_id
0,1631128,Christian Braun,Christian,Braun,0,0,G,1610612743,0022200160
1,1629008,Michael Porter Jr.,Michael,Porter Jr.,1,1,F,1610612743,0022200160
2,1630538,Bones Hyland,Bones,Hyland,3,0,G,1610612743,0022200160
3,203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,5,1,G,1610612743,0022200160
4,201599,DeAndre Jordan,DeAndre,Jordan,6,0,C,1610612743,0022200160
5,1631212,Peyton Watson,Peyton,Watson,8,0,G,1610612743,0022200160
6,1628432,Davon Reed,Davon,Reed,9,0,G,1610612743,0022200160
7,1631298,Jack White,Jack,White,10,0,F,1610612743,0022200160
8,1628971,Bruce Brown,Bruce,Brown,11,0,GF,1610612743,0022200160
9,202397,Ish Smith,Ish,Smith,14,0,G,1610612743,0022200160
10,203999,Nikola Jokic,Nikola,Jokic,15,1,C,1610612743,0022200160
11,1631221,Collin Gillespie,Collin,Gillespie,21,0,G,1610612743,0022200160
12,1630192,Zeke Nnaji,Zeke,Nnaji,22,0,FC,1610612743,0022200160
13,1627750,Jamal Murray,Jamal,Murray,27,1,G,1610612743,0022200160
14,1628427,Vlatko Cancar,Vlatko,Cancar,31,0,F,1610612743,0022200160
15,201145,Jeff Green,Jeff,Green,32,0,F,1610612743,0022200160
16,203932,Aaron Gordon,Aaron,Gordon,50,1,F,1610612743,0022200160
0,1630169,Tyrese Haliburton,Tyrese,Haliburton,0,1,G,1610612754,0022200160
1,1631097,Bennedict Mathurin,Bennedict,Mathurin,00,0,GF,1610612754,0022200160
2,1629614,Andrew Nembhard,Andrew,Nembhard,2,1,GF,1610612754,0022200160
3,1630537,Chris Duarte,Chris,Duarte,3,0,G,1610612754,0022200160
4,1630243,Trevelin Queen,Trevelin,Queen,8,0,G,1610612754,0022200160
5,204456,T.J. McConnell,T.J.,McConnell,9,0,G,1610612754,0022200160
6,1631112,Kendall Brown,Kendall,Brown,10,0,G,1610612754,0022200160
7,1629052,Oshae Brissett,Oshae,Brissett,12,0,FG,1610612754,0022200160
8,201949,James Johnson,James,Johnson,16,0,F,1610612754,0022200160
9,1630678,Terry Taylor,Terry,Taylor,21,0,F,1610612754,0022200160
10,1630543,Isaiah Jackson,Isaiah,Jackson,22,0,F,1610612754,0022200160
11,1630174,Aaron Nesmith,Aaron,Nesmith,23,0,GF,1610612754,0022200160
12,1627741,Buddy Hield,Buddy,Hield,24,1,G,1610612754,0022200160
13,1630188,Jalen Smith,Jalen,Smith,25,1,FC,1610612754,0022200160
14,1628464,Daniel Theis,Daniel,Theis,27,0,FC,1610612754,0022200160
15,1626167,Myles Turner,Myles,Turner,33,1,CF,1610612754,0022200160
16,1629048,Goga Bitadze,Goga,Bitadze,88,0,CF,1610612754,0022200160
0,1628384,O.G. Anunoby,O.G.,Anunoby,3,1,F,1610612761,0022200187
1,1630567,Scottie Barnes,Scottie,Barnes,4,1,F,1610612761,0022200187
2,1630173,Precious Achiuwa,Precious,Achiuwa,5,0,F,1610612761,0022200187
3,1631199,Ron Harper Jr.,Ron,Harper Jr.,8,0,F,1610612761,0022200187
4,1630551,Justin Champagnie,Justin,Champagnie,11,0,GF,1610612761,0022200187
5,1630288,Jeff Dowtin Jr.,Jeff,Dowtin Jr.,20,0,G,1610612761,0022200187
6,201152,Thaddeus Young,Thaddeus,Young,21,1,F,1610612761,0022200187
7,1630201,Malachi Flynn,Malachi,Flynn,22,0,G,1610612761,0022200187
8,1627832,Fred VanVleet,Fred,VanVleet,23,0,G,1610612761,0022200187
9,203920,Khem Birch,Khem,Birch,24,0,F,1610612761,0022200187
10,1628449,Chris Boucher,Chris,Boucher,25,0,FC,1610612761,0022200187
11,203490,Otto Porter Jr.,Otto,Porter Jr.,32,1,F,1610612761,0022200187
12,1629018,Gary Trent Jr.,Gary,Trent Jr.,33,1,GF,1610612761,0022200187
13,1631132,Christian Koloko,Christian,Koloko,35,0,C,1610612761,0022200187
14,1627823,Juancho Hernangomez,Juancho,Hernangomez,41,0,F,1610612761,0022200187
15,1627783,Pascal Siakam,Pascal,Siakam,43,0,F,1610612761,0022200187
16,1630625,Dalano Banton,Dalano,Banton,45,0,F,1610612761,0022200187
0,1630169,Tyrese Haliburton,Tyrese,Haliburton,0,1,G,1610612754,0022200187
1,1631097,Bennedict Mathurin,Bennedict,Mathurin,00,0,GF,1610612754,0022200187
2,1629614,Andrew Nembhard,Andrew,Nembhard,2,1,GF,1610612754,0022200187
3,1630537,Chris Duarte,Chris,Duarte,3,0,G,1610612754,0022200187
4,1630243,Trevelin Queen,Trevelin,Queen,8,0,G,1610612754,0022200187
5,204456,T.J. McConnell,T.J.,McConnell,9,0,G,1610612754,0022200187
6,1631112,Kendall Brown,Kendall,Brown,10,0,G,1610612754,0022200187
7,1629052,Oshae Brissett,Oshae,Brissett,12,0,FG,1610612754,0022200187
8,201949,James Johnson,James,Johnson,16,0,F,1610612754,0022200187
9,1630678,Terry Taylor,Terry,Taylor,21,0,F,1610612754,0022200187
10,1630543,Isaiah Jackson,Isaiah,Jackson,22,0,F,1610612754,0022200187
11,1630174,Aaron Nesmith,Aaron,Nesmith,23,0,GF,1610612754,0022200187
12,1627741,Buddy Hield,Buddy,Hield,24,1,G,1610612754,0022200187
13,1630188,Jalen Smith,Jalen,Smith,25,1,FC,1610612754,0022200187
14,1628464,Daniel Theis,Daniel,Theis,27,0,FC,1610612754,0022200187
15,1626167,Myles Turner,Myles,Turner,33,1,CF,1610612754,0022200187
16,1629048,Goga Bitadze,Goga,Bitadze,88,0,CF,1610612754,0022200187
0,1630169,Tyrese Haliburton,Tyrese,Haliburton,0,1,G,1610612754,0022200211
1,1631097,Bennedict Mathurin,Bennedict,Mathurin,00,0,GF,1610612754,0022200211
2,1629614,Andrew Nembhard,Andrew,Nembhard,2,1,GF,1610612754,0022200211
3,1630537,Chris Duarte,Chris,Duarte,3,0,G,1610612754,0022200211
4,1630243,Trevelin Queen,Trevelin,Queen,8,0,G,1610612754,0022200211
5,204456,T.J. McConnell,T.J.,McConnell,9,0,G,1610612754,0022200211
6,1631112,Kendall Brown,Kendall,Brown,10,0,G,1610612754,0022200211
7,1629052,Oshae Brissett,Oshae,Brissett,12,0,FG,1610612754,0022200211
8,201949,James Johnson,James,Johnson,16,0,F,1610612754,0022200211
9,1630678,Terry Taylor,Terry,Taylor,21,0,F,1610612754,0022200211
10,1630543,Isaiah Jackson,Isaiah,Jackson,22,0,F,1610612754,0022200211
11,1630174,Aaron Nesmith,Aaron,Nesmith,23,0,GF,1610612754,0022200211
12,1627741,Buddy Hield,Buddy,Hield,24,1,G,1610612754,0022200211
13,1630188,Jalen Smith,Jalen,Smith,25,1,FC,1610612754,0022200211
14,1628464,Daniel Theis,Daniel,Theis,27,0,FC,1610612754,0022200211
15,1626167,Myles Turner,Myles,Turner,33,1,CF,1610612754,0022200211
16,1629048,Goga Bitadze,Goga,Bitadze,88,0,CF,1610612754,0022200211
0,1630163,LaMelo Ball,LaMelo,Ball,1,1,G,1610612766,0022200211
1,1630547,James Bouknight,James,Bouknight,2,0,G,1610612766,0022200211
2,1626179,Terry Rozier,Terry,Rozier,3,1,G,1610612766,0022200211
3,1630208,Nick Richards,Nick,Richards,4,0,C,1610612766,0022200211
4,1631109,Mark Williams,Mark,Williams,5,0,C,1610612766,0022200211
5,1629667,Jalen McDaniels,Jalen,McDaniels,6,0,FC,1610612766,0022200211
6,1631121,Bryce McGowens,Bryce,McGowens,7,0,G,1610612766,0022200211
7,1628372,Dennis Smith Jr.,Dennis,Smith Jr.,8,0,G,1610612766,0022200211
8,1630177,Theo Maledon,Theo,Maledon,9,0,G,1610612766,0022200211
9,1628998,Cody Martin,Cody,Martin,11,0,F,1610612766,0022200211
10,1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,12,1,FG,1610612766,0022200211
11,202330,Gordon Hayward,Gordon,Hayward,20,0,F,1610612766,0022200211
12,1630550,JT Thor,JT,Thor,21,0,F,1610612766,0022200211
13,1630539,Kai Jones,Kai,Jones,23,0,CF,1610612766,0022200211
14,203486,Mason Plumlee,Mason,Plumlee,24,1,C,1610612766,0022200211
15,1629023,P.J. Washington,P.J.,Washington,25,1,F,1610612766,0022200211
